route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
4318_78159,7778008,W1,Clock Tower - Ballybeg,,3,,,
4318_78160,7778008,W3,Clock Tower - Meagher's Quay,,3,,,
4318_78161,7778008,W2,Clock Tower - WIT - Meagher's Quay,,3,,,
4318_78162,7778008,W4,Peter Street - Brownes Road,,3,,,
4318_78163,7778008,W5,Hospital - Oakwood,,3,,,
4497_87289,7778020,2,Dublin Airport - Gorey - Wexford,,3,,,
4497_87290,7778020,4,Dublin Airport - Waterford,,3,,,
4497_87291,7778020,13,Limerick - Adare - Listowel - Tralee,,3,,,
4497_87292,7778020,14,Limerick - Kerry Airport - Killarney,,3,,,
4497_87293,7778020,22,Dublin - Airport - Longford - Ballina,,3,,,
4497_87294,7778020,23,Dublin - Airport - Longford - Sligo,,3,,,
4497_87295,7778020,30,Dublin - Airport - Cavan - Donegal,,3,,,
4497_87296,7778020,32,Dublin Airport - Monaghan - Letterkenny,,3,,,
4497_87297,7778020,40,Tralee - Cork - Waterford - Rosslare,,3,,,
4497_87298,7778020,51,Cork - Limerick - Galway,,3,,,
4497_87299,7778020,52,Ballina - Castlebar - Galway,,3,,,
4497_87300,7778020,55,Limerick - Waterford,,3,,,
4497_87301,7778020,64,Galway Bus Station - Derry (Magee Campus Strand Road),,3,,,
4497_87302,7778020,65,Galway - Athlone - Monaghan,,3,,,
4497_87303,7778020,70,Galway - Mullingar - Dundalk,,3,,,
4497_87304,7778020,72,Limerick - Birr - Athlone,,3,,,
4497_87305,7778020,73,Waterford - Athlone - Longford,,3,,,
4497_87306,7778020,100,Drogheda - Dundalk - Newry,,3,,,
4497_87307,7778020,101,Dublin - Airport - Drogheda,,3,,,
4497_87308,7778020,103,Dublin - Ashbourne - Ratoath,,3,,,
4497_87309,7778020,B1,Rail Station - Millfield Centre,,3,,,
4497_87310,7778020,105,Blanchardstown - Ashbourne - Ashbourne - Drogheda,,3,,,
4497_87311,7778020,107,Dublin - Navan - Nobber - Kingscourt,,3,,,
4497_87312,7778020,108,Dublin - Kells - Bailieboro,,3,,,
4497_87313,7778020,109,Dublin - Navan - Kells - Cavan,,3,,,
4497_87314,7778020,111,Wilton Tce - Trim - Granard - Cavan,,3,,,
4497_87315,7778020,115,Dublin - Mullingar,,3,,,
4497_87316,7778020,131,Bray - Wicklow,,3,,,
4497_87317,7778020,132,Dublin - Carnew - Bunclody,,3,,,
4497_87318,7778020,133,Dublin - Wicklow,,3,,,
4497_87319,7778020,134,Dorey's Forge - Dunsany - Navan,,3,,,
4497_87320,7778020,135,Scurloughstown - Navan,,3,,,
