route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4318_78159,96,4318_1,The Quay,1-00002-1,0,4318_7778009_6010801,4318_1
4318_78159,99,4318_10,The Quay,2664-00015-1,0,4318_7778009_6010801,4318_1
4318_78161,98,4318_1006,The Quay,2737-00014-1,0,4318_7778009_6010801,4318_4
4318_78161,99,4318_1007,The Quay,2738-00015-1,0,4318_7778009_6010801,4318_4
4318_78161,43,4318_1008,The Quay,2736-00016-1,0,4318_7778009_6010801,4318_4
4318_78161,100,4318_1009,The Quay,2931-00017-1,0,4318_7778009_6010802,4318_5
4318_78159,100,4318_101,The Quay,2681-00017-1,0,4318_7778009_6010801,4318_2
4318_78161,101,4318_1010,The Quay,175-00001-1,0,4318_7778009_6010801,4318_4
4318_78161,96,4318_1013,The Quay,389-00002-1,0,4318_7778009_6010803,4318_4
4318_78161,97,4318_1014,The Quay,404-00003-1,0,4318_7778009_6010803,4318_4
4318_78159,96,4318_102,The Quay,194-00002-1,0,4318_7778009_6010802,4318_1
4318_78161,98,4318_1022,The Quay,3122-00014-1,0,4318_7778009_6010803,4318_4
4318_78161,99,4318_1023,The Quay,3124-00015-1,0,4318_7778009_6010803,4318_4
4318_78161,43,4318_1024,The Quay,3121-00016-1,0,4318_7778009_6010803,4318_4
4318_78161,100,4318_1025,The Quay,2743-00017-1,0,4318_7778009_6010801,4318_5
4318_78161,96,4318_1026,The Quay,577-00002-1,0,4318_7778009_6010805,4318_4
4318_78161,97,4318_1027,The Quay,591-00003-1,0,4318_7778009_6010805,4318_4
4318_78159,97,4318_103,The Quay,218-00003-1,0,4318_7778009_6010802,4318_1
4318_78161,98,4318_1035,The Quay,3343-00014-1,0,4318_7778009_6010805,4318_4
4318_78161,99,4318_1036,The Quay,3341-00015-1,0,4318_7778009_6010805,4318_4
4318_78161,43,4318_1037,The Quay,3340-00016-1,0,4318_7778009_6010805,4318_4
4318_78161,100,4318_1038,The Quay,3346-00017-1,0,4318_7778009_6010805,4318_5
4318_78161,101,4318_1039,The Quay,471-00001-1,0,4318_7778009_6010803,4318_4
4318_78161,96,4318_1042,The Quay,201-00002-1,0,4318_7778009_6010802,4318_4
4318_78161,97,4318_1043,The Quay,225-00003-1,0,4318_7778009_6010802,4318_4
4318_78161,98,4318_1051,The Quay,2942-00014-1,0,4318_7778009_6010802,4318_4
4318_78161,99,4318_1052,The Quay,2940-00015-1,0,4318_7778009_6010802,4318_4
4318_78161,43,4318_1053,The Quay,2943-00016-1,0,4318_7778009_6010802,4318_4
4318_78161,100,4318_1054,The Quay,3240-00017-1,0,4318_7778009_6010804,4318_5
4318_78161,101,4318_1055,The Quay,365-00001-1,0,4318_7778009_6010802,4318_4
4318_78161,96,4318_1058,The Quay,487-00002-1,0,4318_7778009_6010804,4318_4
4318_78161,97,4318_1059,The Quay,503-00003-1,0,4318_7778009_6010804,4318_4
4318_78161,98,4318_1067,The Quay,3243-00014-1,0,4318_7778009_6010804,4318_4
4318_78161,99,4318_1068,The Quay,3241-00015-1,0,4318_7778009_6010804,4318_4
4318_78161,43,4318_1069,The Quay,3242-00016-1,0,4318_7778009_6010804,4318_4
4318_78161,100,4318_1070,The Quay,3134-00017-1,0,4318_7778009_6010803,4318_5
4318_78161,96,4318_1071,The Quay,12-00002-1,0,4318_7778009_6010801,4318_4
4318_78161,97,4318_1072,The Quay,55-00003-1,0,4318_7778009_6010801,4318_4
4318_78161,98,4318_1080,The Quay,2752-00014-1,0,4318_7778009_6010801,4318_4
4318_78161,99,4318_1081,The Quay,2756-00015-1,0,4318_7778009_6010801,4318_4
4318_78161,43,4318_1082,The Quay,2754-00016-1,0,4318_7778009_6010801,4318_4
4318_78161,100,4318_1083,The Quay,2947-00017-1,0,4318_7778009_6010802,4318_5
4318_78161,101,4318_1084,The Quay,177-00001-1,0,4318_7778009_6010801,4318_4
4318_78161,96,4318_1087,The Quay,391-00002-1,0,4318_7778009_6010803,4318_4
4318_78161,97,4318_1088,The Quay,406-00003-1,0,4318_7778009_6010803,4318_4
4318_78161,98,4318_1096,The Quay,3138-00014-1,0,4318_7778009_6010803,4318_4
4318_78161,99,4318_1097,The Quay,3137-00015-1,0,4318_7778009_6010803,4318_4
4318_78161,43,4318_1098,The Quay,3141-00016-1,0,4318_7778009_6010803,4318_4
4318_78161,100,4318_1099,The Quay,2759-00017-1,0,4318_7778009_6010801,4318_5
4318_78159,43,4318_11,The Quay,2665-00016-1,0,4318_7778009_6010801,4318_1
4318_78159,98,4318_110,The Quay,2877-00014-1,0,4318_7778009_6010802,4318_1
4318_78161,101,4318_1100,The Quay,473-00001-1,0,4318_7778009_6010803,4318_4
4318_78161,96,4318_1103,The Quay,579-00002-1,0,4318_7778009_6010805,4318_4
4318_78161,97,4318_1104,The Quay,593-00003-1,0,4318_7778009_6010805,4318_4
4318_78159,99,4318_111,The Quay,2879-00015-1,0,4318_7778009_6010802,4318_1
4318_78161,98,4318_1112,The Quay,3358-00014-1,0,4318_7778009_6010805,4318_4
4318_78161,99,4318_1113,The Quay,3355-00015-1,0,4318_7778009_6010805,4318_4
4318_78161,43,4318_1114,The Quay,3360-00016-1,0,4318_7778009_6010805,4318_4
4318_78161,100,4318_1115,The Quay,3354-00017-1,0,4318_7778009_6010805,4318_5
4318_78161,96,4318_1116,The Quay,203-00002-1,0,4318_7778009_6010802,4318_4
4318_78161,97,4318_1117,The Quay,227-00003-1,0,4318_7778009_6010802,4318_4
4318_78159,43,4318_112,The Quay,2880-00016-1,0,4318_7778009_6010802,4318_1
4318_78161,98,4318_1125,The Quay,2957-00014-1,0,4318_7778009_6010802,4318_4
4318_78161,99,4318_1126,The Quay,2959-00015-1,0,4318_7778009_6010802,4318_4
4318_78161,43,4318_1127,The Quay,2956-00016-1,0,4318_7778009_6010802,4318_4
4318_78161,100,4318_1128,The Quay,3254-00017-1,0,4318_7778009_6010804,4318_5
4318_78161,101,4318_1129,The Quay,367-00001-1,0,4318_7778009_6010802,4318_4
4318_78159,101,4318_113,The Quay,167-00001-1,0,4318_7778009_6010801,4318_1
4318_78161,96,4318_1132,The Quay,489-00002-1,0,4318_7778009_6010804,4318_4
4318_78161,97,4318_1133,The Quay,505-00003-1,0,4318_7778009_6010804,4318_4
4318_78159,96,4318_114,The Quay,480-00002-1,0,4318_7778009_6010804,4318_2
4318_78161,98,4318_1141,The Quay,3257-00014-1,0,4318_7778009_6010804,4318_4
4318_78161,99,4318_1142,The Quay,3255-00015-1,0,4318_7778009_6010804,4318_4
4318_78161,43,4318_1143,The Quay,3256-00016-1,0,4318_7778009_6010804,4318_4
4318_78161,100,4318_1144,The Quay,3152-00017-1,0,4318_7778009_6010803,4318_5
4318_78161,101,4318_1145,The Quay,179-00001-1,0,4318_7778009_6010801,4318_4
4318_78161,96,4318_1148,The Quay,14-00002-1,0,4318_7778009_6010801,4318_4
4318_78161,97,4318_1149,The Quay,57-00003-1,0,4318_7778009_6010801,4318_4
4318_78159,97,4318_115,The Quay,496-00003-1,0,4318_7778009_6010804,4318_2
4318_78161,98,4318_1157,The Quay,2773-00014-1,0,4318_7778009_6010801,4318_4
4318_78161,99,4318_1158,The Quay,2774-00015-1,0,4318_7778009_6010801,4318_4
4318_78161,43,4318_1159,The Quay,2771-00016-1,0,4318_7778009_6010801,4318_4
4318_78161,100,4318_1160,The Quay,2963-00017-1,0,4318_7778009_6010802,4318_5
4318_78161,96,4318_1161,The Quay,393-00002-1,0,4318_7778009_6010803,4318_4
4318_78161,97,4318_1162,The Quay,408-00003-1,0,4318_7778009_6010803,4318_4
4318_78161,98,4318_1170,The Quay,3158-00014-1,0,4318_7778009_6010803,4318_4
4318_78161,99,4318_1171,The Quay,3157-00015-1,0,4318_7778009_6010803,4318_4
4318_78161,43,4318_1172,The Quay,3160-00016-1,0,4318_7778009_6010803,4318_4
4318_78161,100,4318_1173,The Quay,3159-00017-1,0,4318_7778009_6010803,4318_5
4318_78161,101,4318_1174,The Quay,475-00001-1,0,4318_7778009_6010803,4318_4
4318_78161,96,4318_1177,The Quay,581-00002-1,0,4318_7778009_6010805,4318_4
4318_78161,97,4318_1178,The Quay,595-00003-1,0,4318_7778009_6010805,4318_4
4318_78161,98,4318_1186,The Quay,3369-00014-1,0,4318_7778009_6010805,4318_4
4318_78161,99,4318_1187,The Quay,3368-00015-1,0,4318_7778009_6010805,4318_4
4318_78161,43,4318_1188,The Quay,3374-00016-1,0,4318_7778009_6010805,4318_4
4318_78161,100,4318_1189,The Quay,3373-00017-1,0,4318_7778009_6010805,4318_5
4318_78161,101,4318_1190,The Quay,369-00001-1,0,4318_7778009_6010802,4318_4
4318_78161,96,4318_1193,The Quay,205-00002-1,0,4318_7778009_6010802,4318_4
4318_78161,97,4318_1194,The Quay,229-00003-1,0,4318_7778009_6010802,4318_4
4318_78159,96,4318_12,The Quay,380-00002-1,0,4318_7778009_6010803,4318_1
4318_78161,98,4318_1202,The Quay,2975-00014-1,0,4318_7778009_6010802,4318_4
4318_78161,99,4318_1203,The Quay,2974-00015-1,0,4318_7778009_6010802,4318_4
4318_78161,43,4318_1204,The Quay,2976-00016-1,0,4318_7778009_6010802,4318_4
4318_78161,100,4318_1205,The Quay,3268-00017-1,0,4318_7778009_6010804,4318_5
4318_78161,96,4318_1206,The Quay,491-00002-1,0,4318_7778009_6010804,4318_4
4318_78161,97,4318_1207,The Quay,507-00003-1,0,4318_7778009_6010804,4318_4
4318_78161,98,4318_1215,The Quay,3273-00014-1,0,4318_7778009_6010804,4318_4
4318_78161,99,4318_1216,The Quay,3272-00015-1,0,4318_7778009_6010804,4318_4
4318_78161,43,4318_1217,The Quay,3269-00016-1,0,4318_7778009_6010804,4318_4
4318_78161,100,4318_1218,The Quay,2783-00017-1,0,4318_7778009_6010801,4318_5
4318_78161,101,4318_1219,The Quay,181-00001-1,0,4318_7778009_6010801,4318_4
4318_78161,101,4318_1222,The Quay,182-00001-1,0,4318_7778009_6010801,4318_4
4318_78161,96,4318_1223,The Quay,206-00002-1,0,4318_7778009_6010802,4318_4
4318_78161,97,4318_1224,The Quay,230-00003-1,0,4318_7778009_6010802,4318_4
4318_78161,98,4318_1234,The Quay,2985-00014-1,0,4318_7778009_6010802,4318_4
4318_78161,99,4318_1235,The Quay,2983-00015-1,0,4318_7778009_6010802,4318_4
4318_78161,43,4318_1236,The Quay,2986-00016-1,0,4318_7778009_6010802,4318_4
4318_78161,100,4318_1237,The Quay,2791-00017-1,0,4318_7778009_6010801,4318_5
4318_78161,101,4318_1238,The Quay,183-00001-1,0,4318_7778009_6010801,4318_4
4318_78161,96,4318_1239,The Quay,207-00002-1,0,4318_7778009_6010802,4318_5
4318_78161,97,4318_1240,The Quay,231-00003-1,0,4318_7778009_6010802,4318_5
4318_78159,98,4318_125,The Quay,3192-00014-1,0,4318_7778009_6010804,4318_2
4318_78161,98,4318_1250,The Quay,2991-00014-1,0,4318_7778009_6010802,4318_5
4318_78161,99,4318_1251,The Quay,2993-00015-1,0,4318_7778009_6010802,4318_5
4318_78161,43,4318_1252,The Quay,2989-00016-1,0,4318_7778009_6010802,4318_5
