route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4515_88252,91,4515_1,Shaw street,1142,0,4515_7778195_9001001,4515_1
4515_88252,91,4515_10,Shaw street,1190,0,4515_7778195_9001009,4515_1
4515_88252,92,4515_100,Shaw street,9217,0,4515_7778195_9001003,4515_1
4515_88248,91,4515_1000,Ashington,2572,1,4515_7778195_7122006,4515_37
4515_88211,91,4515_10000,Swords Manor,1702,0,4515_7778195_5041019,4515_309
4515_88211,93,4515_10001,Swords Manor,16356,0,4515_7778195_5041008,4515_309
4515_88211,92,4515_10002,Swords Manor,9878,0,4515_7778195_5041009,4515_309
4515_88211,91,4515_10003,Swords Manor,1977,0,4515_7778195_5041001,4515_309
4515_88211,93,4515_10004,Swords Manor,16302,0,4515_7778195_5041009,4515_309
4515_88211,92,4515_10005,Swords Manor,9812,0,4515_7778195_5041004,4515_310
4515_88211,91,4515_10006,Swords Manor,1991,0,4515_7778195_5041003,4515_309
4515_88211,92,4515_10007,Swords Manor,9785,0,4515_7778195_5041006,4515_309
4515_88211,91,4515_10008,Swords Manor,1681,0,4515_7778195_5041020,4515_309
4515_88211,93,4515_10009,Swords Manor,16319,0,4515_7778195_5041007,4515_309
4515_88248,92,4515_1001,Ashington,12761,1,4515_7778195_7122002,4515_37
4515_88211,92,4515_10010,Swords Manor,9822,0,4515_7778195_5041014,4515_309
4515_88211,91,4515_10011,Swords Manor,1804,0,4515_7778195_5041013,4515_309
4515_88211,92,4515_10012,Swords Manor,10026,0,4515_7778195_5041008,4515_309
4515_88211,93,4515_10013,Swords Manor,16218,0,4515_7778195_5041001,4515_310
4515_88211,91,4515_10014,Swords Manor,2065,0,4515_7778195_5041016,4515_309
4515_88211,91,4515_10015,Swords Manor,1660,0,4515_7778195_5041014,4515_309
4515_88211,92,4515_10016,Swords Manor,10018,0,4515_7778195_5041002,4515_309
4515_88211,93,4515_10017,Swords Manor,16299,0,4515_7778195_5041013,4515_310
4515_88211,91,4515_10018,Swords Manor,6720,0,4515_7778195_8828102,4515_309
4515_88211,92,4515_10019,Swords Manor,9726,0,4515_7778195_5041003,4515_309
4515_88248,91,4515_1002,Ashington,2731,1,4515_7778195_7122008,4515_37
4515_88211,93,4515_10020,Swords Manor,16373,0,4515_7778195_5041014,4515_309
4515_88211,91,4515_10021,Swords Manor,2036,0,4515_7778195_5041004,4515_309
4515_88211,92,4515_10022,Swords Manor,9880,0,4515_7778195_5041009,4515_309
4515_88211,91,4515_10023,Swords Manor,1996,0,4515_7778195_5041026,4515_309
4515_88211,93,4515_10024,Swords Manor,16237,0,4515_7778195_5041011,4515_309
4515_88211,92,4515_10025,Swords Manor,9814,0,4515_7778195_5041004,4515_310
4515_88211,91,4515_10026,Swords Manor,1778,0,4515_7778195_5041008,4515_309
4515_88211,92,4515_10027,Swords Manor,9787,0,4515_7778195_5041006,4515_309
4515_88211,93,4515_10028,Swords Manor,16245,0,4515_7778195_5041016,4515_309
4515_88211,91,4515_10029,Swords Manor,1683,0,4515_7778195_5041020,4515_309
4515_88248,92,4515_1003,Ashington,12705,1,4515_7778195_7122004,4515_37
4515_88211,92,4515_10030,Swords Manor,10040,0,4515_7778195_5041016,4515_309
4515_88211,91,4515_10031,Swords Manor,1806,0,4515_7778195_5041013,4515_309
4515_88211,92,4515_10032,Swords Manor,9770,0,4515_7778195_5041015,4515_309
4515_88211,93,4515_10033,Swords Manor,16278,0,4515_7778195_5041005,4515_310
4515_88211,91,4515_10034,Swords Manor,2056,0,4515_7778195_5041023,4515_309
4515_88211,92,4515_10035,Swords Manor,9714,0,4515_7778195_5041012,4515_309
4515_88211,93,4515_10036,Swords Manor,16336,0,4515_7778195_5041019,4515_309
4515_88211,91,4515_10037,Swords Manor,2024,0,4515_7778195_5041017,4515_309
4515_88211,92,4515_10038,Swords Manor,10020,0,4515_7778195_5041002,4515_309
4515_88211,91,4515_10039,Swords Manor,1662,0,4515_7778195_5041014,4515_309
4515_88248,91,4515_1004,Ashington,2740,1,4515_7778195_7122011,4515_37
4515_88211,92,4515_10040,Swords Manor,9728,0,4515_7778195_5041003,4515_309
4515_88211,93,4515_10041,Swords Manor,16416,0,4515_7778195_5041021,4515_310
4515_88211,91,4515_10042,Swords Manor,1706,0,4515_7778195_5041019,4515_309
4515_88211,92,4515_10043,Swords Manor,9882,0,4515_7778195_5041009,4515_309
4515_88211,93,4515_10044,Swords Manor,16239,0,4515_7778195_5041011,4515_309
4515_88211,91,4515_10045,Swords Manor,1981,0,4515_7778195_5041001,4515_309
4515_88211,92,4515_10046,Swords Manor,10057,0,4515_7778195_5041018,4515_309
4515_88211,91,4515_10047,Swords Manor,1780,0,4515_7778195_5041008,4515_309
4515_88211,92,4515_10048,Swords Manor,10004,0,4515_7778195_5041005,4515_309
4515_88211,93,4515_10049,Swords Manor,16289,0,4515_7778195_5041024,4515_310
4515_88248,91,4515_1005,Ashington,2748,1,4515_7778195_7122001,4515_37
4515_88211,91,4515_10050,Swords Manor,1771,0,4515_7778195_5041021,4515_309
4515_88211,92,4515_10051,Swords Manor,10042,0,4515_7778195_5041016,4515_309
4515_88211,93,4515_10052,Swords Manor,16247,0,4515_7778195_5041016,4515_309
4515_88211,91,4515_10053,Swords Manor,1820,0,4515_7778195_5041011,4515_309
4515_88211,92,4515_10054,Swords Manor,9900,0,4515_7778195_5041020,4515_309
4515_88211,91,4515_10055,Swords Manor,2005,0,4515_7778195_5041022,4515_309
4515_88211,92,4515_10056,Swords Manor,10079,0,4515_7778195_5041019,4515_309
4515_88211,93,4515_10057,Swords Manor,16227,0,4515_7778195_5041018,4515_310
4515_88211,91,4515_10058,Swords Manor,6620,0,4515_7778195_8818229,4515_309
4515_88211,92,4515_10059,Swords Manor,10022,0,4515_7778195_5041002,4515_309
4515_88248,92,4515_1006,Ashington,12717,1,4515_7778195_7122006,4515_37
4515_88211,93,4515_10060,Swords Manor,16376,0,4515_7778195_5041023,4515_309
4515_88211,91,4515_10061,Swords Manor,2069,0,4515_7778195_5041024,4515_309
4515_88211,92,4515_10062,Swords Manor,10050,0,4515_7778195_5041017,4515_309
4515_88211,91,4515_10063,Swords Manor,1664,0,4515_7778195_5041014,4515_309
4515_88211,92,4515_10064,Swords Manor,9992,0,4515_7778195_5041013,4515_309
4515_88211,93,4515_10065,Swords Manor,16474,0,4515_7778195_5041022,4515_310
4515_88211,91,4515_10066,Swords Manor,2029,0,4515_7778195_5041030,4515_309
4515_88211,92,4515_10067,Swords Manor,10059,0,4515_7778195_5041018,4515_309
4515_88211,93,4515_10068,Swords Manor,16308,0,4515_7778195_5041009,4515_309
4515_88211,91,4515_10069,Swords Manor,6721,0,4515_7778195_8828202,4515_309
4515_88248,91,4515_1007,Ashington,2671,1,4515_7778195_7122003,4515_37
4515_88211,92,4515_10070,Swords Manor,9939,0,4515_7778195_5041001,4515_309
4515_88211,92,4515_10071,Swords Manor,9828,0,4515_7778195_5041014,4515_309
4515_88211,93,4515_10072,Swords Manor,16234,0,4515_7778195_5041020,4515_310
4515_88211,91,4515_10073,Swords Manor,1782,0,4515_7778195_5041008,4515_311
4515_88211,92,4515_10074,Swords Manor,9774,0,4515_7778195_5041015,4515_309
4515_88211,93,4515_10075,Swords Manor,16229,0,4515_7778195_5041018,4515_310
4515_88211,91,4515_10076,Swords Manor,2074,0,4515_7778195_5041027,4515_311
4515_88211,91,4515_10077,Swords Manor,2060,0,4515_7778195_5041023,4515_309
4515_88211,92,4515_10078,Swords Manor,10083,0,4515_7778195_5041022,4515_310
4515_88211,93,4515_10079,Swords Manor,16378,0,4515_7778195_5041023,4515_311
4515_88248,91,4515_1008,Ashington,2635,1,4515_7778195_7122013,4515_37
4515_88211,91,4515_10080,Swords Manor,1687,0,4515_7778195_5041035,4515_309
4515_88211,92,4515_10081,Swords Manor,9994,0,4515_7778195_5041013,4515_310
4515_88211,93,4515_10082,Swords Manor,16476,0,4515_7778195_5041022,4515_311
4515_88211,93,4515_10083,Swords Manor,16366,0,4515_7778195_5041026,4515_309
4515_88211,92,4515_10084,Swords Manor,9817,0,4515_7778195_5041025,4515_310
4515_88211,91,4515_10085,Swords Manor,2086,0,4515_7778195_5041034,4515_311
4515_88211,92,4515_10086,Swords Manor,9915,0,4515_7778195_5041023,4515_309
4515_88211,93,4515_10087,Swords Manor,16451,0,4515_7778195_5041028,4515_310
4515_88211,91,4515_10088,Swords Manor,1756,0,4515_7778195_5041041,4515_311
4515_88211,91,4515_10089,Swords Manor,2078,0,4515_7778195_5041032,4515_309
4515_88248,93,4515_1009,Ashington,18537,1,4515_7778195_7122001,4515_38
4515_88211,93,4515_10090,Swords Manor,16404,0,4515_7778195_5041029,4515_310
4515_88211,92,4515_10091,Swords Manor,10008,0,4515_7778195_5041027,4515_311
4515_88211,93,4515_10092,Swords Manor,16502,0,4515_7778195_5041036,4515_309
4515_88211,91,4515_10093,Swords Manor,2082,0,4515_7778195_5041033,4515_310
4515_88211,92,4515_10094,Swords Manor,10054,0,4515_7778195_5041017,4515_311
4515_88211,92,4515_10095,Swords Manor,9871,0,4515_7778195_5041024,4515_309
4515_88211,93,4515_10096,Swords Manor,16368,0,4515_7778195_5041026,4515_310
4515_88211,91,4515_10097,Swords Manor,2091,0,4515_7778195_5041036,4515_311
4515_88211,91,4515_10098,Abbey St,2031,1,4515_7778195_5041004,4515_314
4515_88211,91,4515_10099,Abbey St,1675,1,4515_7778195_5041006,4515_314
4515_88252,91,4515_101,Shaw street,1180,0,4515_7778195_9001006,4515_1
4515_88248,92,4515_1010,Ashington,12678,1,4515_7778195_7122001,4515_37
4515_88211,91,4515_10100,Abbey St,1773,1,4515_7778195_5041008,4515_312
4515_88211,91,4515_10101,Abbey St,1813,1,4515_7778195_5041011,4515_312
4515_88211,91,4515_10102,Abbey St,1887,1,4515_7778195_5041015,4515_312
4515_88211,92,4515_10103,Abbey St,9997,1,4515_7778195_5041005,4515_312
4515_88211,91,4515_10104,Abbey St,2062,1,4515_7778195_5041016,4515_313
4515_88211,93,4515_10105,Abbey St,16215,1,4515_7778195_5041001,4515_312
4515_88211,91,4515_10106,Abbey St,1657,1,4515_7778195_5041014,4515_312
4515_88211,92,4515_10107,Abbey St,10023,1,4515_7778195_5041008,4515_312
4515_88211,91,4515_10108,Abbey St,1833,1,4515_7778195_5041002,4515_312
4515_88211,92,4515_10109,Abbey St,10015,1,4515_7778195_5041002,4515_312
4515_88248,91,4515_1011,Ashington,2529,1,4515_7778195_7122005,4515_37
4515_88211,91,4515_10110,Abbey St,2033,1,4515_7778195_5041004,4515_313
4515_88211,91,4515_10111,Abbey St,1677,1,4515_7778195_5041006,4515_312
4515_88211,91,4515_10112,Abbey St,1812,1,4515_7778195_5041005,4515_314
4515_88211,92,4515_10113,Abbey St,9877,1,4515_7778195_5041009,4515_312
4515_88211,93,4515_10114,Abbey St,16701,1,4515_7778195_5041038,4515_312
4515_88211,92,4515_10115,Abbey St,9999,1,4515_7778195_5041005,4515_312
4515_88211,91,4515_10116,Abbey St,1680,1,4515_7778195_5041020,4515_312
4515_88211,91,4515_10117,Abbey St,1803,1,4515_7778195_5041013,4515_312
4515_88211,92,4515_10118,Abbey St,9922,1,4515_7778195_5041010,4515_312
4515_88211,91,4515_10119,Abbey St,2064,1,4515_7778195_5041016,4515_312
4515_88248,91,4515_1012,Ashington,2520,1,4515_7778195_7122007,4515_37
4515_88211,93,4515_10120,Abbey St,16217,1,4515_7778195_5041001,4515_313
4515_88211,92,4515_10121,Abbey St,9711,1,4515_7778195_5041012,4515_312
4515_88211,91,4515_10122,Abbey St,1659,1,4515_7778195_5041014,4515_312
4515_88211,92,4515_10123,Abbey St,10017,1,4515_7778195_5041002,4515_312
4515_88211,93,4515_10124,Abbey St,16257,1,4515_7778195_5041002,4515_313
4515_88211,91,4515_10125,Abbey St,6719,1,4515_7778195_8828102,4515_312
4515_88211,92,4515_10126,Abbey St,9725,1,4515_7778195_5041003,4515_312
4515_88211,93,4515_10127,Abbey St,16413,1,4515_7778195_5041003,4515_312
4515_88211,91,4515_10128,Abbey St,2035,1,4515_7778195_5041004,4515_313
4515_88211,92,4515_10129,Abbey St,9987,1,4515_7778195_5041013,4515_312
4515_88248,92,4515_1013,Ashington,12694,1,4515_7778195_7122003,4515_37
4515_88211,91,4515_10130,Abbey St,1995,1,4515_7778195_5041026,4515_312
4515_88211,93,4515_10131,Abbey St,16303,1,4515_7778195_5041009,4515_312
4515_88211,92,4515_10132,Abbey St,10001,1,4515_7778195_5041005,4515_313
4515_88211,91,4515_10133,Abbey St,1777,1,4515_7778195_5041008,4515_312
4515_88211,92,4515_10134,Abbey St,9934,1,4515_7778195_5041001,4515_312
