service_id,date,exception_type
195,20250421,2
195,20250505,2
195,20250602,2
195,20250804,2
195,20251027,2
201,20250421,1
201,20250505,1
201,20250602,1
201,20250804,1
201,20251027,1
205,20250415,2
205,20250422,2
207,20250414,2
207,20250421,2
207,20250505,2
208,20250421,2
208,20250428,2
208,20250505,2
208,20250512,2
208,20250519,2
208,20250526,2
208,20250602,2
208,20250804,2
209,20250429,2
209,20250506,2
209,20250513,2
209,20250520,2
209,20250527,2
213,20250421,1
213,20250505,1
213,20250602,1
213,20250804,1
