route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
4526_90556,7778008,W1,Clock Tower - Ballybeg,,3,,,
4526_90557,7778008,W3,Clock Tower - Meagher's Quay,,3,,,
4526_90558,7778008,W2,Clock Tower - WIT - Meagher's Quay,,3,,,
4526_90559,7778008,W4,Peter Street - Brownes Road,,3,,,
4526_90560,7778008,W5,Hospital - Oakwood,,3,,,
4538_90207,7778020,2,Dublin Airport - Gorey - Wexford,,3,,,
4538_90208,7778020,4,Dublin Airport - Waterford,,3,,,
4538_90209,7778020,13,Limerick - Adare - Listowel - Tralee,,3,,,
4538_90210,7778020,14,Limerick - Kerry Airport - Killarney,,3,,,
4538_90211,7778020,22,Dublin - Airport - Longford - Ballina,,3,,,
4538_90212,7778020,23,Dublin - Airport - Longford - Sligo,,3,,,
4538_90213,7778020,30,Dublin - Airport - Cavan - Donegal,,3,,,
4538_90214,7778020,32,Dublin Airport - Monaghan - Letterkenny,,3,,,
4538_90215,7778020,40,Tralee - Cork - Waterford - Rosslare,,3,,,
4538_90216,7778020,51,Cork - Limerick - Galway,,3,,,
4538_90217,7778020,52,Ballina - Castlebar - Galway,,3,,,
4538_90218,7778020,55,Limerick - Waterford,,3,,,
4538_90219,7778020,64,Galway Bus Station - Derry (Magee Campus Strand Road),,3,,,
4538_90220,7778020,65,Galway - Athlone - Monaghan,,3,,,
4538_90221,7778020,70,Galway - Mullingar - Dundalk,,3,,,
4538_90222,7778020,72,Limerick - Birr - Athlone,,3,,,
4538_90223,7778020,73,Waterford - Athlone - Longford,,3,,,
4538_90224,7778020,100,Drogheda - Dundalk - Newry,,3,,,
4538_90225,7778020,101,Dublin - Airport - Drogheda,,3,,,
4538_90226,7778020,103,Dublin - Ashbourne - Ratoath,,3,,,
4538_90227,7778020,B1,Rail Station - Millfield Centre,,3,,,
4538_90228,7778020,105,Blanchardstown - Ashbourne - Ashbourne - Drogheda,,3,,,
4538_90229,7778020,107,Dublin - Navan - Nobber - Kingscourt,,3,,,
4538_90230,7778020,108,Dublin - Kells - Bailieboro,,3,,,
4538_90231,7778020,109,Dublin - Navan - Kells - Cavan,,3,,,
4538_90232,7778020,111,Wilton Tce - Trim - Granard - Cavan,,3,,,
4538_90233,7778020,115,Dublin - Mullingar,,3,,,
4538_90234,7778020,131,Bray - Wicklow,,3,,,
4538_90235,7778020,132,Dublin - Carnew - Bunclody,,3,,,
4538_90236,7778020,133,Dublin - Wicklow,,3,,,
4538_90237,7778020,134,Dorey's Forge - Dunsany - Navan,,3,,,
4538_90238,7778020,135,Scurloughstown - Navan,,3,,,
4538_90239,7778020,136,Ross Cross - Navan Shopping Centre,,3,,,
4538_90240,7778020,160,Dundalk - Ravensdale - Newry,,3,,,
4538_90241,7778020,161,Dundalk - Carlingford - Newry,,3,,,
4538_90242,7778020,162,Dundalk - Monaghan - Clones - Cavan,,3,,,
4538_90243,7778020,167,Dundalk - Louth - Ardee,,3,,,
4538_90244,7778020,168,Dundalk - Annagassan,,3,,,
4538_90245,7778020,170,Cavan - Dundalk,,3,,,
4538_90246,7778020,173,Drogheda West St - Dominck St,,3,,,
4538_90247,7778020,174,Long Walk - Muirhevnamuir,,3,,,
4538_90248,7778020,175,Monaghan - Cootehill - Cavan,,3,,,
4538_90249,7778020,182,Drogheda - Collon - Ardee - Monaghan,,3,,,
4538_90250,7778020,187,Kells - Virginia - Ballyjamesduff,,3,,,
4538_90251,7778020,190,Drogheda - Navan - Trim,,3,,,
4538_90252,7778020,201,Lotabeg - Hollyhill - CIT - CUH,,3,,,
4538_90253,7778020,202,Ringmahon - City - Hollyhill (Apple),,3,,,
4538_90254,7778020,203,Lehenaghmore - City Centre - Parklands,,3,,,
4538_90255,7778020,205,Train Station - St. Patrick St - CIT,,3,,,
4538_90256,7778020,206,Grange - Douglas - South Mall,,3,,,
4538_90257,7778020,207,Donnybrook - City Centre - City Centre - Glenheights,,3,,,
4538_90258,7778020,208,Lotabeg - Bishopstown - Curraheen,,3,,,
4538_90259,7778020,209,Patrick St - Audley Place - Lotamore,,3,,,
4538_90260,7778020,212,Kent Station - Blackrock - Mahon Point,,3,,,
4538_90261,7778020,213,Lapps Quay (P&R) - Black Ash,,3,,,
4538_90262,7778020,214,Glanmire - City Centre - CUH,,3,,,
4538_90263,7778020,215,Mahon Point - Ballinlough - Cloghroe,,3,,,
4538_90264,7778020,216,Mount Oval - City - Glasheen - CUH,,3,,,
4538_90265,7778020,219,Mahon - Douglas - CUH/ CIT (South Orb),,3,,,
4538_90266,7778020,220,Ballincollig - Douglas - Carrigaline,,3,,,
4538_90267,7778020,223,Cork - Ringaskiddy - Haulbowline,,3,,,
4538_90268,7778020,225,Cork Airport - Haulbowline,,3,,,
4538_90269,7778020,226,Train Stn - Airport - Kinsale,,3,,,
4538_90270,7778020,233,Cork - Macroom,,3,,,
4538_90271,7778020,235,Cork - Rylane - Stuake,,3,,,
4538_90272,7778020,236,Cork - Bantry - Castletownbere,,3,,,
4538_90273,7778020,237,Cork - Skibereen - Goleen,,3,,,
4538_90274,7778020,239,Cork - Bandon,,3,,,
4538_90275,7778020,240,Cork - Cloyne - Ballycotton,,3,,,
4538_90276,7778020,241,Cork - Midelton - Whitegate,,3,,,
4538_90277,7778020,243,Cork - Newmarket/Doneraile/Charleville,,3,,,
4538_90278,7778020,245,Cork - Fermoy - Mitchelstown - Clonmel,,3,,,
4538_90279,7778020,248,Cork - Carrignavar/ Glenville,,3,,,
4538_90280,7778020,257,Macroom - Killarney,,3,,,
4538_90281,7778020,258,Macroom - Rylane,,3,,,
4538_90282,7778020,259,Macroom - Renaniree,,3,,,
4538_90283,7778020,260,Cork - Youghal - Ardmore,,3,,,
4538_90284,7778020,261,Cork - Midelton - Ballincurra,,3,,,
4538_90285,7778020,270,Killarney - Kenmare - Skibbereen,,3,,,
4538_90286,7778020,271,Tralee - Kerry Airport - Killarney,,3,,,
4538_90287,7778020,272,Tralee - Listowel - Tarbert,,3,,,
4538_90288,7778020,275,Tralee - Dingle,,3,,,
4538_90289,7778020,279,Killarney - Cahersiveen - Waterville,,3,,,
4538_90290,7778020,284,Killarney - Tralee,,3,,,
4538_90291,7778020,301,Westbury - Regional Hospital,,3,,,
4538_90292,7778020,302,City Centre - Caherdavin,,3,,,
4538_90293,7778020,303,O'Malley Park - City Centre - Pineview,,3,,,
4538_90294,7778020,304,UL - City Centre - Raheen,,3,,,
4538_90295,7778020,305,Lynwood Pk - City Centre - St Marys Pk,,3,,,
4538_90296,7778020,306,Brookfield - City Centre - Ballynanty,,3,,,
4538_90297,7778020,313,Limerick - Ardnacrusha,,3,,,
4538_90298,7778020,314,Limerick - Foynes - Glin - Ballybunion,,3,,,
4538_90299,7778020,316,Sixmilebridge - Shannon Airport,,3,,,
4538_90300,7778020,317,Limerick - Ennis,,3,,,
4538_90301,7778020,320,Limerick - Charleville,,3,,,
4538_90302,7778020,321,Limerick - Rathkeale - Newcastlewest,,3,,,
4538_90303,7778020,323,Limerick - Killaloe - Nenagh - Birr,,3,,,
4538_90304,7778020,324,Nenagh - Borrisokane - Kilbarron,,3,,,
4538_90305,7778020,328,Limerick - Mitchellstown,,3,,,
4538_90306,7778020,329,Limerick - Bruff - Kilfinane,,3,,,
4538_90307,7778020,330,Ennis - Shannon Airport,,3,,,
4538_90308,7778020,332,Limerick - Dundrum,,3,,,
4538_90309,7778020,333,Limerick - Ennis - Corofin - Doonbeg,,3,,,
4538_90310,7778020,336,Limerick - Ennis - Kilrush - Kilkee,,3,,,
4538_90311,7778020,343,Limerick - Shannon Airport,,3,,,
4538_90312,7778020,345,Limerick - Killaloe - Scariff,,3,,,
4538_90313,7778020,347,Limerick - Tipperary,,3,,,
4538_90314,7778020,348,Ennis - Tulla - Scariff,,3,,,
4538_90315,7778020,349,Gort - Scariff - Feakle,,3,,,
4538_90316,7778020,350,Galway - Kinvara - Doolin - Ennis,,3,,,
4538_90317,7778020,354,Portlaw - Waterford - Dunmore East,,3,,,
4538_90318,7778020,355,Waterford - Cahir,,3,,,
4538_90319,7778020,360,Waterford - Tramore,,3,,,
4538_90320,7778020,362,Waterford - Dungarvan,,3,,,
4538_90321,7778020,365,Waterford - Thomastown,,3,,,
4538_90322,7778020,366,Waterford - Dungarvan - Lismore,,3,,,
4538_90323,7778020,370,Waterford - New Ross - Wexford,,3,,,
4538_90324,7778020,371,New Ross - Adamstown - Wexford,,3,,,
4538_90325,7778020,372,New Ross - Foulksmills - Wexford,,3,,,
4538_90326,7778020,373,New Ross - Fethard - Wexford,,3,,,
4538_90327,7778020,374,New Ross - Kilkenny,,3,,,
4538_90328,7778020,375,New Ross - Kiltealy - Enniscorthy,,3,,,
4538_90329,7778020,377,Wexford - Edermine - Enniscorthy,,3,,,
4538_90330,7778020,378,Wexford - Churchtown,,3,,,
4538_90331,7778020,379,Wexford - Curracloe - Gorey,,3,,,
4538_90332,7778020,380,Wexford - Crossabeg,,3,,,
4538_90333,7778020,381,Wexford - Blackhall,,3,,,
4538_90334,7778020,382,Adamstown - Wexford,,3,,,
4538_90335,7778020,383,Wexford - Kilmore Quay,,3,,,
4538_90336,7778020,385,Wexford - Rosslare Europort,,3,,,
4538_90337,7778020,401,Parkmore Road - Doctor Mannix Road,,3,,,
4538_90338,7778020,402,Seacrest - Eyre Square - Merlin Park,,3,,,
4538_90339,7778020,404,Eyre Square - Newcastle,,3,,,
4538_90340,7778020,405,Rahoon - Eyre Square - Ballybane,,3,,,
4538_90341,7778020,407,Eyre Square - Bóthar an Chóiste,,3,,,
4538_90342,7778020,409,Eyre Square - An Pháirc Mhór,,3,,,
4538_90343,7778020,417,Galway - Corofin Cross - Tuam,,3,,,
4538_90344,7778020,419,Galway - Clifden,,3,,,
4538_90345,7778020,420,Ballina - Pontoon - Castlebar,,3,,,
4538_90346,7778020,421,Swinford - Claremorris,,3,,,
4538_90347,7778020,422,Headford - Castlebar,,3,,,
4538_90348,7778020,423,Westport - Clifden,,3,,,
4538_90349,7778020,424,Galway - Lettermullen,,3,,,
4538_90350,7778020,425,Galway - Roscommon - Longford,,3,,,
4538_90351,7778020,429,Galway - Tuam - Castlerea,,3,,,
4538_90352,7778020,434,Galway - Gort,,3,,,
4538_90353,7778020,440,Knock Airport - Westport - Dooagh,,3,,,
4538_90354,7778020,442,Charlestown - Castlebar - Westport,,3,,,
4538_90355,7778020,443,Ballina - Farragh Cross,,3,,,
4538_90356,7778020,444,Ballina - Dromore West,,3,,,
4538_90357,7778020,445,Ballina - Killala - Ballycastle,,3,,,
4538_90358,7778020,446,Ballina - Blacksod,,3,,,
4538_90359,7778020,447,Finea - Castlepollard - Mullingar,,3,,,
4538_90360,7778020,448,Shandonagh - Ballynacargy - Mullingar,,3,,,
4538_90361,7778020,450,Dooagh - Louisburgh,,3,,,
4538_90362,7778020,451,Ballina - Charlestown - Longford,,3,,,
4538_90363,7778020,455,Ballina - Moygownagh - Crossmolina,,3,,,
4538_90364,7778020,456,Galway - Westport - Ballina,,3,,,
4538_90365,7778020,457,Castlrea - Ballintubber - Roscommon,,3,,,
4538_90366,7778020,458,Sligo - Enniscrone - Ballina,,3,,,
4538_90367,7778020,461,Sligo - Roscommon - Athlone,,3,,,
4538_90368,7778020,462,Carrigallen - Ballinamore - Sligo,,3,,,
4538_90369,7778020,463,Carrigallen - Mohill - Longford,,3,,,
4538_90370,7778020,464,Carrigallen - Eniskillen,,3,,,
4538_90371,7778020,465,Carrigallen - Cavan,,3,,,
4538_90372,7778020,466,Athlone - Longford,,3,,,
4538_90373,7778020,467,Longford - Lanesboro - Roscommon,,3,,,
4538_90374,7778020,468,Strokestown - Carrick on Shannon,,3,,,
4538_90375,7778020,469,Sligo - Drumkeeran - Longford,,3,,,
4538_90376,7778020,470,Sligo - Glenfarne - Rossinver,,3,,,
4538_90377,7778020,471,Sligo - Ballymote - Riverstown,,3,,,
4538_90378,7778020,S2,Strandhill - Rosses Point,,3,,,
4538_90379,7778020,S3,Finisklin Sth - Markievicz Rd,,3,,,
4538_90380,7778020,476,Killavil - Ballymote - Tubbercurry,,3,,,
4538_90381,7778020,S1,Cartron - Sligo Town Centre - Cairns,,3,,,
4538_90382,7778020,479,Aclare - Coolaney - Sligo,,3,,,
4538_90383,7778020,480,Sligo - Donegal - Letterkenny - Derry,,3,,,
4538_90384,7778020,483,Ballyshannon - Sligo,,3,,,
4538_90385,7778020,487,Strabane - Raphoe - Letterkenny,,3,,,
4538_90386,7778020,489,Letterkenny - Carrigans - Strabane,,3,,,
4538_90387,7778020,490,Donegal - Killybegs - Glencolumbcille,,3,,,
4538_90388,7778020,491,Letterkenny - Ballybofey,,3,,,
4538_90389,7778020,492,Donegal - Glenties - Dungloe,,3,,,
4538_90390,7778020,494,Strabane - Ballybofey,,3,,,
4538_90391,7778020,495,Ballyshannon - Manorhamilton,,3,,,
4538_90392,7778020,100X,Wilton Tce - Airport - Dundalk,,3,,,
4538_90393,7778020,109A,DCU - Airport - Ratoath - Navan,,3,,,
4538_90394,7778020,115C,Enfield - Killucan - Mullingar,,3,,,
4538_90395,7778020,174A,Long Walk - Fatima,,3,,,
4538_90396,7778020,174B,Long Walk - Bay Estate,,3,,,
4538_90397,7778020,175A,Cavan - Clones - Monaghan,,3,,,
4538_90398,7778020,182A,Drogheda - Hospital - Ardee,,3,,,
4538_90399,7778020,N1,Commons Road - Metges Road,,3,,,
4538_90400,7778020,N2,Aisling Place - Commons Road,,3,,,
4538_90401,7778020,D4,Southgate SC - Ballymakenny,,3,,,
4538_90402,7778020,D5,Colpe Road - Termonabbey,,3,,,
