route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4526_90556,195,4526_1,The Quay,1-00002-1,0,4526_7778009_6010801,4526_1
4526_90556,199,4526_10,The Quay,470-00006-1,0,4526_7778009_6010803,4526_1
4526_90556,196,4526_100,The Quay,31-00003-1,0,4526_7778009_6010801,4526_2
4526_90557,199,4526_1000,The Quay,833-00006-1,0,4526_7778009_6020801,4526_14
4526_90557,200,4526_1001,The Quay,951-00007-1,0,4526_7778009_6030801,4526_14
4526_90557,201,4526_1003,The Quay,1026-00001-1,0,4526_7778009_6030801,4526_14
4526_90557,195,4526_1004,The Quay,718-00002-1,0,4526_7778009_6020801,4526_14
4526_90557,196,4526_1005,The Quay,747-00003-1,0,4526_7778009_6020801,4526_14
4526_90557,197,4526_1006,The Quay,776-00004-1,0,4526_7778009_6020801,4526_14
4526_90557,198,4526_1007,The Quay,805-00005-1,0,4526_7778009_6020801,4526_14
4526_90557,199,4526_1008,The Quay,834-00006-1,0,4526_7778009_6020801,4526_14
4526_90557,200,4526_1009,The Quay,952-00007-1,0,4526_7778009_6030801,4526_14
4526_90556,197,4526_101,The Quay,55-00004-1,0,4526_7778009_6010801,4526_2
4526_90557,201,4526_1011,The Quay,1027-00001-1,0,4526_7778009_6030801,4526_14
4526_90557,195,4526_1012,The Quay,719-00002-1,0,4526_7778009_6020801,4526_14
4526_90557,196,4526_1013,The Quay,748-00003-1,0,4526_7778009_6020801,4526_14
4526_90557,197,4526_1014,The Quay,777-00004-1,0,4526_7778009_6020801,4526_14
4526_90557,198,4526_1015,The Quay,806-00005-1,0,4526_7778009_6020801,4526_14
4526_90557,199,4526_1016,The Quay,835-00006-1,0,4526_7778009_6020801,4526_14
4526_90557,200,4526_1017,The Quay,953-00007-1,0,4526_7778009_6030801,4526_14
4526_90557,201,4526_1019,The Quay,1028-00001-1,0,4526_7778009_6030801,4526_14
4526_90556,198,4526_102,The Quay,79-00005-1,0,4526_7778009_6010801,4526_2
4526_90557,195,4526_1020,The Quay,720-00002-1,0,4526_7778009_6020801,4526_14
4526_90557,196,4526_1021,The Quay,749-00003-1,0,4526_7778009_6020801,4526_14
4526_90557,197,4526_1022,The Quay,778-00004-1,0,4526_7778009_6020801,4526_14
4526_90557,198,4526_1023,The Quay,807-00005-1,0,4526_7778009_6020801,4526_14
