route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4525_90515,141,4525_1,Shaw street,1142,0,4525_7778195_9001001,4525_1
4525_90515,141,4525_10,Shaw street,1190,0,4525_7778195_9001009,4525_1
4525_90511,141,4525_1000,Ashington,2572,1,4525_7778195_7122006,4525_37
4525_90474,141,4525_10000,Swords Manor,1702,0,4525_7778195_5041019,4525_309
4525_90474,141,4525_10003,Swords Manor,1977,0,4525_7778195_5041001,4525_309
4525_90474,141,4525_10006,Swords Manor,1991,0,4525_7778195_5041003,4525_309
4525_90474,141,4525_10008,Swords Manor,1681,0,4525_7778195_5041020,4525_309
4525_90474,141,4525_10011,Swords Manor,1804,0,4525_7778195_5041013,4525_309
4525_90474,141,4525_10014,Swords Manor,2065,0,4525_7778195_5041016,4525_309
4525_90474,141,4525_10015,Swords Manor,1660,0,4525_7778195_5041014,4525_309
4525_90474,141,4525_10018,Swords Manor,6685,0,4525_7778195_8828102,4525_309
4525_90511,141,4525_1002,Ashington,2731,1,4525_7778195_7122008,4525_37
4525_90474,141,4525_10021,Swords Manor,2036,0,4525_7778195_5041004,4525_309
4525_90474,141,4525_10023,Swords Manor,1996,0,4525_7778195_5041026,4525_309
4525_90474,141,4525_10026,Swords Manor,1778,0,4525_7778195_5041008,4525_309
4525_90474,141,4525_10029,Swords Manor,1683,0,4525_7778195_5041020,4525_309
4525_90474,141,4525_10031,Swords Manor,1806,0,4525_7778195_5041013,4525_309
4525_90474,141,4525_10034,Swords Manor,2056,0,4525_7778195_5041023,4525_309
4525_90474,141,4525_10037,Swords Manor,2024,0,4525_7778195_5041017,4525_309
4525_90474,141,4525_10039,Swords Manor,1662,0,4525_7778195_5041014,4525_309
4525_90511,141,4525_1004,Ashington,2740,1,4525_7778195_7122011,4525_37
4525_90474,141,4525_10042,Swords Manor,1706,0,4525_7778195_5041019,4525_309
4525_90474,141,4525_10045,Swords Manor,1981,0,4525_7778195_5041001,4525_309
4525_90474,141,4525_10047,Swords Manor,1780,0,4525_7778195_5041008,4525_309
4525_90511,141,4525_1005,Ashington,2748,1,4525_7778195_7122001,4525_37
4525_90474,141,4525_10050,Swords Manor,1771,0,4525_7778195_5041021,4525_309
4525_90474,141,4525_10053,Swords Manor,1820,0,4525_7778195_5041011,4525_309
4525_90474,141,4525_10055,Swords Manor,2005,0,4525_7778195_5041022,4525_309
4525_90474,141,4525_10058,Swords Manor,6589,0,4525_7778195_8818229,4525_309
4525_90474,141,4525_10061,Swords Manor,2069,0,4525_7778195_5041024,4525_309
4525_90474,141,4525_10063,Swords Manor,1664,0,4525_7778195_5041014,4525_309
4525_90474,141,4525_10066,Swords Manor,2029,0,4525_7778195_5041030,4525_309
4525_90474,141,4525_10069,Swords Manor,6686,0,4525_7778195_8828202,4525_309
4525_90511,141,4525_1007,Ashington,2671,1,4525_7778195_7122003,4525_37
4525_90474,141,4525_10072,Swords Manor,1782,0,4525_7778195_5041008,4525_310
4525_90474,141,4525_10075,Swords Manor,2074,0,4525_7778195_5041027,4525_310
4525_90474,141,4525_10078,Swords Manor,2060,0,4525_7778195_5041023,4525_310
4525_90511,141,4525_1008,Ashington,2635,1,4525_7778195_7122013,4525_37
4525_90474,141,4525_10081,Swords Manor,1687,0,4525_7778195_5041035,4525_310
4525_90474,141,4525_10083,Swords Manor,2086,0,4525_7778195_5041034,4525_309
4525_90474,141,4525_10087,Swords Manor,1756,0,4525_7778195_5041041,4525_310
4525_90474,141,4525_10090,Swords Manor,2078,0,4525_7778195_5041032,4525_310
4525_90474,141,4525_10093,Swords Manor,2082,0,4525_7778195_5041033,4525_310
4525_90474,141,4525_10095,Swords Manor,2091,0,4525_7778195_5041036,4525_309
4525_90474,141,4525_10098,Abbey St,2031,1,4525_7778195_5041004,4525_315
4525_90474,141,4525_10099,Abbey St,1675,1,4525_7778195_5041006,4525_315
4525_90515,141,4525_101,Shaw street,1180,0,4525_7778195_9001006,4525_1
4525_90474,141,4525_10100,Abbey St,1773,1,4525_7778195_5041008,4525_312
4525_90474,141,4525_10101,Abbey St,1813,1,4525_7778195_5041011,4525_312
4525_90474,141,4525_10102,Abbey St,1887,1,4525_7778195_5041015,4525_312
4525_90474,141,4525_10103,Abbey St,2062,1,4525_7778195_5041016,4525_312
4525_90474,141,4525_10106,Abbey St,1657,1,4525_7778195_5041014,4525_312
4525_90474,141,4525_10108,Abbey St,1833,1,4525_7778195_5041002,4525_312
4525_90511,141,4525_1011,Ashington,2529,1,4525_7778195_7122005,4525_37
4525_90474,141,4525_10110,Abbey St,2033,1,4525_7778195_5041004,4525_313
