service_id,date,exception_type
118,20250421,2
118,20250804,2
119,20250418,1
121,20250804,1
123,20250505,2
125,20250505,2
125,20250602,2
129,20250505,1
130,20250602,1
131,20251027,1
133,20250803,2
134,20250804,2
138,20250421,2
140,20250407,2
140,20250408,2
140,20250422,2
140,20250423,2
143,20250414,1
143,20250415,1
144,20250408,1
145,20250422,1
145,20250423,1
266,20250524,1
267,20250526,1
123,20250421,2
123,20250804,2
123,20251027,2
125,20250421,2
118,20250505,2
118,20250602,2
118,20251027,2
125,20250804,2
268,20250525,1
270,20250810,1
273,20250419,1
277,20250510,1
283,20250804,2
287,20250509,2
292,20250505,2
292,20250602,2
297,20250501,1
300,20250602,1
300,20251027,1
301,20250428,1
303,20250514,1
304,20250521,1
306,20250604,1
309,20250624,1
309,20250625,1
311,20250708,1
311,20250709,1
312,20250714,1
133,20250504,2
133,20250601,2
134,20250505,2
134,20250602,2
312,20250716,1
318,20250827,1
319,20250903,1
320,20250910,1
134,20251027,2
137,20250418,2
139,20250418,2
140,20250401,2
271,20250811,1
275,20250420,1
276,20250419,2
279,20250426,1
321,20250915,1
321,20250916,1
322,20250924,1
324,20251006,1
280,20250421,2
282,20250329,2
283,20250329,2
283,20250505,2
290,20250405,2
292,20250804,2
293,20250419,2
294,20250509,2
298,20250606,2
300,20250421,1
300,20250804,1
302,20250506,1
325,20251013,1
326,20251021,1
328,20251103,1
328,20251104,1
330,20251117,1
330,20251118,1
331,20251124,1
331,20251125,1
303,20250513,1
305,20250528,1
306,20250603,1
307,20250609,1
308,20250616,1
308,20250617,1
309,20250623,1
310,20250702,1
125,20251027,2
133,20250420,2
133,20251026,2
134,20250421,2
315,20250805,1
318,20250825,1
320,20250909,1
321,20250917,1
138,20250505,2
138,20250602,2
139,20250421,2
139,20250804,2
332,20251201,1
333,20251208,1
333,20251209,1
323,20250929,1
323,20250930,1
324,20251007,1
326,20251020,1
139,20251027,2
140,20250331,2
140,20250409,2
143,20250416,1
144,20250409,1
269,20250809,1
274,20250420,2
278,20250419,2
278,20250426,2
283,20250602,2
288,20250509,1
293,20250329,2
299,20250606,1
301,20250430,1
302,20250507,1
304,20250520,1
305,20250526,1
307,20250610,1
307,20250611,1
310,20250630,1
311,20250707,1
312,20250715,1
313,20250730,1
315,20250806,1
320,20250908,1
322,20250922,1
322,20250923,1
326,20251022,1
327,20251029,1
328,20251105,1
329,20251110,1
331,20251126,1
327,20251028,1
329,20251111,1
332,20251203,1
118,20250418,2
123,20250602,2
128,20250421,1
138,20250804,2
138,20251027,2
139,20250505,2
139,20250602,2
140,20250402,2
140,20250414,2
140,20250415,2
140,20250416,2
272,20250419,2
276,20250510,2
283,20250421,2
283,20251027,2
285,20250329,2
289,20250406,2
292,20250421,2
292,20251027,2
296,20250501,2
300,20250505,1
301,20250429,1
303,20250512,1
304,20250519,1
305,20250527,1
308,20250618,1
310,20250701,1
313,20250728,1
313,20250729,1
314,20250721,1
314,20250722,1
314,20250723,1
316,20250811,1
316,20250812,1
316,20250813,1
317,20250818,1
317,20250819,1
317,20250820,1
318,20250826,1
319,20250901,1
319,20250902,1
323,20251001,1
324,20251008,1
325,20251014,1
325,20251015,1
329,20251112,1
330,20251119,1
332,20251202,1
333,20251210,1
