trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
4452_3360,08:45:00,08:45:00,8300IR0074,1,Dublin Connolly,0,1,1
4452_3360,08:51:00,08:51:00,8310IR0086,2,,0,0,1
4452_3360,08:56:00,08:56:00,8310IR0019,3,,0,0,1
4452_3360,09:00:00,09:01:00,8240IR0018,4,,0,0,1
4452_3360,09:06:00,09:07:00,8240IR0023,5,,0,0,1
4452_3360,09:12:00,09:13:00,8240IR0130,6,,0,0,1
4452_3360,09:16:00,09:17:00,8240IR0016,7,,0,0,1
4452_3360,09:22:00,09:23:00,8240IR0020,8,,0,0,1
4452_3360,09:26:00,09:27:00,8240IR0138,9,,0,0,1
4452_3360,09:29:00,09:30:00,8220IR0139,10,,0,0,1
4452_3360,09:32:00,09:33:00,8240IR0025,11,,0,0,1
4452_3360,09:45:00,09:45:00,8220IR0007,12,,1,0,1
4452_3361,08:45:00,08:45:00,8300IR0074,1,Dublin Connolly,0,1,1
4452_3361,08:51:00,08:51:00,8310IR0086,2,,0,0,1
4452_3361,08:56:00,08:56:00,8310IR0019,3,,0,0,1
4452_3361,09:00:00,09:01:00,8240IR0018,4,,0,0,1
4452_3361,09:06:00,09:07:00,8240IR0023,5,,0,0,1
4452_3361,09:12:00,09:13:00,8240IR0130,6,,0,0,1
4452_3361,09:16:00,09:17:00,8240IR0016,7,,0,0,1
4452_3361,09:22:00,09:23:00,8240IR0020,8,,0,0,1
4452_3361,09:26:00,09:27:00,8240IR0138,9,,0,0,1
4452_3361,09:29:00,09:30:00,8220IR0139,10,,0,0,1
4452_3361,09:32:00,09:33:00,8240IR0025,11,,0,0,1
4452_3361,09:45:00,09:45:00,8220IR0007,12,,1,0,1
4452_3362,08:45:00,08:45:00,8300IR0074,1,Dublin Connolly,0,1,1
4452_3362,08:51:00,08:51:00,8310IR0086,2,,0,0,1
4452_3362,08:56:00,08:56:00,8310IR0019,3,,0,0,1
4452_3362,09:00:00,09:01:00,8240IR0018,4,,0,0,1
4452_3362,09:06:00,09:07:00,8240IR0023,5,,0,0,1
4452_3362,09:12:00,09:13:00,8240IR0130,6,,0,0,1
4452_3362,09:16:00,09:17:00,8240IR0016,7,,0,0,1
4452_3362,09:22:00,09:23:00,8240IR0020,8,,0,0,1
4452_3362,09:26:00,09:27:00,8240IR0138,9,,0,0,1
4452_3362,09:29:00,09:30:00,8220IR0139,10,,0,0,1
4452_3362,09:32:00,09:33:00,8240IR0025,11,,0,0,1
4452_3362,09:45:00,09:45:00,8220IR0007,12,,1,0,1
4452_3363,08:45:00,08:45:00,8300IR0074,1,Dublin Connolly,0,1,1
4452_3363,08:51:00,08:51:00,8310IR0086,2,,0,0,1
4452_3363,08:56:00,08:56:00,8310IR0019,3,,0,0,1
4452_3363,09:00:00,09:01:00,8240IR0018,4,,0,0,1
4452_3363,09:06:00,09:07:00,8240IR0023,5,,0,0,1
4452_3363,09:12:00,09:13:00,8240IR0130,6,,0,0,1
4452_3363,09:16:00,09:17:00,8240IR0016,7,,0,0,1
4452_3363,09:22:00,09:23:00,8240IR0020,8,,0,0,1
4452_3363,09:26:00,09:27:00,8240IR0138,9,,0,0,1
4452_3363,09:29:00,09:30:00,8220IR0139,10,,0,0,1
4452_3363,09:32:00,09:33:00,8240IR0025,11,,0,0,1
4452_3363,09:45:00,09:45:00,8220IR0007,12,,1,0,1
4452_3364,08:48:00,08:48:00,8300IR0074,1,Dublin Connolly,0,1,1
4452_3364,08:54:00,08:54:00,8310IR0086,2,,0,0,1
4452_3364,08:59:00,08:59:00,8310IR0019,3,,0,0,1
4452_3364,09:03:00,09:04:00,8240IR0018,4,,0,0,1
4452_3364,09:09:00,09:10:00,8240IR0023,5,,0,0,1
4452_3364,09:16:00,09:16:00,8240IR0130,6,,0,0,1
4452_3364,09:19:00,09:20:00,8240IR0016,7,,0,0,1
4452_3364,09:25:00,09:26:00,8240IR0020,8,,0,0,1
4452_3364,09:29:00,09:30:00,8240IR0138,9,,0,0,1
4452_3364,09:32:00,09:33:00,8220IR0139,10,,0,0,1
4452_3364,09:35:00,09:36:00,8240IR0025,11,,0,0,1
4452_3364,09:49:00,09:49:00,8220IR0007,12,,1,0,1
4452_3370,08:48:00,08:48:00,8300IR0074,1,Dublin Connolly,0,1,1
4452_3370,08:54:00,08:54:00,8310IR0086,2,,0,0,1
4452_3370,08:59:00,08:59:00,8310IR0019,3,,0,0,1
