route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
4452_86289,152,4452_240,Greystones,E109,1,4452_7778018_Txc854AAB0C-46ED-4CD0-B9D9-777BAB6FE977,4452_2
4452_86289,154,4452_2407,Malahide,E814,0,4452_7778018_TxcCE485ED4-9523-4E13-9A3C-1916D169D267,4452_40
4452_86289,143,4452_2413,Malahide,E814,0,4452_7778018_TxcC8B4DF9D-A763-44BC-B9AF-0CACDF69AC03,4452_40
4452_86289,155,4452_2414,Malahide,E814,0,4452_7778018_Txc2C20F031-ED72-4BD8-BC7A-019ECAB1F978,4452_40
4452_86289,152,4452_2415,Howth,E936,0,4452_7778018_Txc637CC417-E59F-4048-BBE2-0D33596819A7,4452_47
4452_86289,135,4452_2420,Howth,E921,0,4452_7778018_Txc9EEDABC7-7F56-437C-BA5A-8B497FCE6845,4452_47
4452_86289,153,4452_2424,Howth,E921,0,4452_7778018_Txc3558AE15-ECD0-40B5-B0FD-4F7BEBDE5905,4452_47
4452_86289,152,4452_2433,Howth,E937,0,4452_7778018_Txc68315F7C-6826-490E-94A5-A7949AAF0387,4452_46
4452_86289,152,4452_2434,Malahide,E834,0,4452_7778018_Txc78372A83-0E46-416D-85FD-BE147481D3F1,4452_40
4452_86289,154,4452_2439,Howth,E914,0,4452_7778018_Txc31CA5675-550B-43E9-B2CB-D29E111A5C71,4452_47
4452_86289,143,4452_2445,Howth,E914,0,4452_7778018_Txc7E76EC4F-5B63-4135-9BF3-E77D9066F10E,4452_47
4452_86289,155,4452_2446,Howth,E914,0,4452_7778018_Txc1A97ED76-FABC-4962-8C22-088CD17571ED,4452_47
4452_86289,135,4452_2447,Malahide,E822,0,4452_7778018_TxcA755BD2B-A590-464F-9D57-15AA0397FDBE,4452_40
4452_86289,154,4452_245,Bray (Daly),E204,1,4452_7778018_Txc99EBB8DA-B98B-4620-8FCA-65B4E06E3442,4452_7
4452_86289,153,4452_2451,Malahide,E822,0,4452_7778018_Txc30EFE206-483B-462C-A7B8-1011FBC502EB,4452_40
